Year,Geography,Age group,Sexe,Value
2018,Quebec,15 to 24 years,Hommes,10.0
2019,Quebec,15 to 24 years,Hommes,9.0
2020,Quebec,15 to 24 years,Hommes,14.0
2016,Quebec,15 to 24 years,Femmes,8.0
2017,Quebec,15 to 24 years,Femmes,7.0
2018,Quebec,15 to 24 years,Femmes,7.0
2019,Quebec,15 to 24 years,Femmes,7.0
2020,Quebec,15 to 24 years,Femmes,9.0
2016,Quebec,18 to 24 years,Both sexes,13.0
2017,Quebec,18 to 24 years,Both sexes,10.0
2018,Quebec,18 to 24 years,Both sexes,10.0
2019,Quebec,18 to 24 years,Both sexes,10.0
2020,Quebec,18 to 24 years,Both sexes,13.0
2016,Quebec,18 to 24 years,Hommes,17.0
2017,Quebec,18 to 24 years,Hommes,12.0
2018,Quebec,18 to 24 years,Hommes,11.0
2019,Quebec,18 to 24 years,Hommes,11.0
2020,Quebec,18 to 24 years,Hommes,16.0
2016,Quebec,18 to 24 years,Femmes,9.0
2017,Quebec,18 to 24 years,Femmes,8.0
2018,Quebec,18 to 24 years,Femmes,9.0
2019,Quebec,18 to 24 years,Femmes,8.0
2020,Quebec,18 to 24 years,Femmes,9.0
2016,Quebec,20 to 24 years,Both sexes,14.0
2017,Quebec,20 to 24 years,Both sexes,10.0
2018,Quebec,20 to 24 years,Both sexes,11.0
2019,Quebec,20 to 24 years,Both sexes,11.0
2020,Quebec,20 to 24 years,Both sexes,13.0
2016,Quebec,20 to 24 years,Hommes,18.0
2017,Quebec,20 to 24 years,Hommes,12.0
2018,Quebec,20 to 24 years,Hommes,12.0
2019,Quebec,20 to 24 years,Hommes,12.0
2020,Quebec,20 to 24 years,Hommes,17.0
2016,Quebec,20 to 24 years,Femmes,9.0
2017,Quebec,20 to 24 years,Femmes,7.0
2018,Quebec,20 to 24 years,Femmes,10.0
2019,Quebec,20 to 24 years,Femmes,9.0
2020,Quebec,20 to 24 years,Femmes,9.0
2016,Quebec,25 to 29 years,Both sexes,17.0
2017,Quebec,25 to 29 years,Both sexes,14.0
2018,Quebec,25 to 29 years,Both sexes,11.0
2019,Quebec,25 to 29 years,Both sexes,12.0
2020,Quebec,25 to 29 years,Both sexes,14.0
2016,Quebec,25 to 29 years,Hommes,17.0
2017,Quebec,25 to 29 years,Hommes,15.0
2018,Quebec,25 to 29 years,Hommes,11.0
2019,Quebec,25 to 29 years,Hommes,13.0
2020,Quebec,25 to 29 years,Hommes,15.0
2016,Quebec,25 to 29 years,Femmes,17.0
2017,Quebec,25 to 29 years,Femmes,13.0
2018,Quebec,25 to 29 years,Femmes,12.0
2019,Quebec,25 to 29 years,Femmes,12.0
2020,Quebec,25 to 29 years,Femmes,13.0
2016,Ontario,Total 15 to 29 years,Both sexes,12.0
2017,Ontario,Total 15 to 29 years,Both sexes,12.0
2018,Ontario,Total 15 to 29 years,Both sexes,12.0
2019,Ontario,Total 15 to 29 years,Both sexes,11.0
2020,Ontario,Total 15 to 29 years,Both sexes,13.0
2016,Ontario,Total 15 to 29 years,Hommes,13.0
2017,Ontario,Total 15 to 29 years,Hommes,12.0
2018,Ontario,Total 15 to 29 years,Hommes,12.0
2019,Ontario,Total 15 to 29 years,Hommes,12.0
2020,Ontario,Total 15 to 29 years,Hommes,14.0
2016,Ontario,Total 15 to 29 years,Femmes,12.0
2017,Ontario,Total 15 to 29 years,Femmes,12.0
2018,Ontario,Total 15 to 29 years,Femmes,12.0
2019,Ontario,Total 15 to 29 years,Femmes,11.0
2020,Ontario,Total 15 to 29 years,Femmes,13.0
2016,Ontario,15 to 19 years,Both sexes,5.0
2017,Ontario,15 to 19 years,Both sexes,5.0
2018,Ontario,15 to 19 years,Both sexes,6.0
2019,Ontario,15 to 19 years,Both sexes,6.0
2020,Ontario,15 to 19 years,Both sexes,8.0
2016,Ontario,15 to 19 years,Hommes,6.0
2017,Ontario,15 to 19 years,Hommes,6.0
2018,Ontario,15 to 19 years,Hommes,7.0
2019,Ontario,15 to 19 years,Hommes,7.0
2020,Ontario,15 to 19 years,Hommes,10.0
2016,Ontario,15 to 19 years,Femmes,4.0
2017,Ontario,15 to 19 years,Femmes,4.0
2018,Ontario,15 to 19 years,Femmes,5.0
2019,Ontario,15 to 19 years,Femmes,5.0
2020,Ontario,15 to 19 years,Femmes,7.0
2016,Ontario,15 to 24 years,Both sexes,10.0
2017,Ontario,15 to 24 years,Both sexes,9.0
2018,Ontario,15 to 24 years,Both sexes,10.0
2019,Ontario,15 to 24 years,Both sexes,10.0
2020,Ontario,15 to 24 years,Both sexes,11.0
2016,Ontario,15 to 24 years,Hommes,11.0
2017,Ontario,15 to 24 years,Hommes,10.0
2018,Ontario,15 to 24 years,Hommes,11.0
2019,Ontario,15 to 24 years,Hommes,10.0
2020,Ontario,15 to 24 years,Hommes,13.0
2016,Ontario,15 to 24 years,Femmes,9.0
2017,Ontario,15 to 24 years,Femmes,9.0
2018,Ontario,15 to 24 years,Femmes,8.0
2019,Ontario,15 to 24 years,Femmes,9.0
2020,Ontario,15 to 24 years,Femmes,10.0
2016,Ontario,18 to 24 years,Both sexes,13.0
2017,Ontario,18 to 24 years,Both sexes,12.0
2018,Ontario,18 to 24 years,Both sexes,12.0
2019,Ontario,18 to 24 years,Both sexes,12.0
2020,Ontario,18 to 24 years,Both sexes,13.0
2016,Ontario,18 to 24 years,Hommes,14.0
2017,Ontario,18 to 24 years,Hommes,12.0
2018,Ontario,18 to 24 years,Hommes,13.0
2019,Ontario,18 to 24 years,Hommes,13.0
2020,Ontario,18 to 24 years,Hommes,15.0
2016,Ontario,18 to 24 years,Femmes,11.0
2017,Ontario,18 to 24 years,Femmes,11.0
2018,Ontario,18 to 24 years,Femmes,11.0
2019,Ontario,18 to 24 years,Femmes,11.0
2020,Ontario,18 to 24 years,Femmes,11.0
2016,Ontario,20 to 24 years,Both sexes,14.0
2017,Ontario,20 to 24 years,Both sexes,13.0
2018,Ontario,20 to 24 years,Both sexes,13.0
2019,Ontario,20 to 24 years,Both sexes,13.0
2020,Ontario,20 to 24 years,Both sexes,14.0
2016,Ontario,20 to 24 years,Hommes,15.0
2017,Ontario,20 to 24 years,Hommes,13.0
2018,Ontario,20 to 24 years,Hommes,14.0
2019,Ontario,20 to 24 years,Hommes,13.0
2020,Ontario,20 to 24 years,Hommes,15.0
2016,Ontario,20 to 24 years,Femmes,13.0
2017,Ontario,20 to 24 years,Femmes,13.0
2018,Ontario,20 to 24 years,Femmes,12.0
2019,Ontario,20 to 24 years,Femmes,12.0
2020,Ontario,20 to 24 years,Femmes,12.0
2016,Ontario,25 to 29 years,Both sexes,17.0
2017,Ontario,25 to 29 years,Both sexes,17.0
2018,Ontario,25 to 29 years,Both sexes,17.0
2019,Ontario,25 to 29 years,Both sexes,15.0
2020,Ontario,25 to 29 years,Both sexes,17.0
2016,Ontario,25 to 29 years,Hommes,17.0
2017,Ontario,25 to 29 years,Hommes,16.0
2018,Ontario,25 to 29 years,Hommes,15.0
2019,Ontario,25 to 29 years,Hommes,14.0
2020,Ontario,25 to 29 years,Hommes,15.0
2016,Ontario,25 to 29 years,Femmes,17.0
2017,Ontario,25 to 29 years,Femmes,17.0
2018,Ontario,25 to 29 years,Femmes,18.0
2019,Ontario,25 to 29 years,Femmes,15.0
2020,Ontario,25 to 29 years,Femmes,18.0
2016,Manitoba,Total 15 to 29 years,Both sexes,13.0
2017,Manitoba,Total 15 to 29 years,Both sexes,13.0
2018,Manitoba,Total 15 to 29 years,Both sexes,13.0
2019,Manitoba,Total 15 to 29 years,Both sexes,13.0
2020,Manitoba,Total 15 to 29 years,Both sexes,13.0
2016,Manitoba,Total 15 to 29 years,Hommes,13.0
2017,Manitoba,Total 15 to 29 years,Hommes,12.0
2018,Manitoba,Total 15 to 29 years,Hommes,13.0
2019,Manitoba,Total 15 to 29 years,Hommes,13.0
2020,Manitoba,Total 15 to 29 years,Hommes,13.0
2016,Manitoba,Total 15 to 29 years,Femmes,14.0
2017,Manitoba,Total 15 to 29 years,Femmes,14.0
2018,Manitoba,Total 15 to 29 years,Femmes,14.0
2019,Manitoba,Total 15 to 29 years,Femmes,13.0
2020,Manitoba,Total 15 to 29 years,Femmes,14.0
2016,Manitoba,15 to 19 years,Both sexes,6.0
2017,Manitoba,15 to 19 years,Both sexes,6.0
2018,Manitoba,15 to 19 years,Both sexes,7.0
2019,Manitoba,15 to 19 years,Both sexes,8.0
2020,Manitoba,15 to 19 years,Both sexes,7.0
2016,Manitoba,15 to 19 years,Hommes,7.0
2017,Manitoba,15 to 19 years,Hommes,7.0
2018,Manitoba,15 to 19 years,Hommes,8.0
2019,Manitoba,15 to 19 years,Hommes,9.0
2020,Manitoba,15 to 19 years,Hommes,7.0
2016,Manitoba,15 to 19 years,Femmes,6.0
2017,Manitoba,15 to 19 years,Femmes,5.0
2018,Manitoba,15 to 19 years,Femmes,6.0
2019,Manitoba,15 to 19 years,Femmes,7.0
2020,Manitoba,15 to 19 years,Femmes,6.0
2016,Manitoba,15 to 24 years,Both sexes,11.0
2017,Manitoba,15 to 24 years,Both sexes,11.0
2018,Manitoba,15 to 24 years,Both sexes,12.0
2019,Manitoba,15 to 24 years,Both sexes,12.0
2020,Manitoba,15 to 24 years,Both sexes,11.0
2016,Manitoba,15 to 24 years,Hommes,11.0
2017,Manitoba,15 to 24 years,Hommes,12.0
2018,Manitoba,15 to 24 years,Hommes,12.0
2019,Manitoba,15 to 24 years,Hommes,13.0
2020,Manitoba,15 to 24 years,Hommes,12.0
2016,Manitoba,15 to 24 years,Femmes,12.0
2017,Manitoba,15 to 24 years,Femmes,11.0
2018,Manitoba,15 to 24 years,Femmes,11.0
2019,Manitoba,15 to 24 years,Femmes,10.0
2020,Manitoba,15 to 24 years,Femmes,11.0
2016,Manitoba,18 to 24 years,Both sexes,15.0
2017,Manitoba,18 to 24 years,Both sexes,15.0
2018,Manitoba,18 to 24 years,Both sexes,14.0
2019,Manitoba,18 to 24 years,Both sexes,15.0
2020,Manitoba,18 to 24 years,Both sexes,14.0
2016,Manitoba,18 to 24 years,Hommes,14.0
2017,Manitoba,18 to 24 years,Hommes,15.0
2018,Manitoba,18 to 24 years,Hommes,15.0
2019,Manitoba,18 to 24 years,Hommes,17.0
2020,Manitoba,18 to 24 years,Hommes,14.0
2016,Manitoba,18 to 24 years,Femmes,15.0
2017,Manitoba,18 to 24 years,Femmes,14.0
2018,Manitoba,18 to 24 years,Femmes,14.0
2019,Manitoba,18 to 24 years,Femmes,14.0
2020,Manitoba,18 to 24 years,Femmes,13.0
2016,Manitoba,20 to 24 years,Both sexes,16.0
2017,Manitoba,20 to 24 years,Both sexes,16.0
2018,Manitoba,20 to 24 years,Both sexes,16.0
2019,Manitoba,20 to 24 years,Both sexes,15.0
2020,Manitoba,20 to 24 years,Both sexes,15.0
2016,Manitoba,20 to 24 years,Hommes,15.0
2017,Manitoba,20 to 24 years,Hommes,15.0
2018,Manitoba,20 to 24 years,Hommes,15.0
2019,Manitoba,20 to 24 years,Hommes,16.0
2020,Manitoba,20 to 24 years,Hommes,16.0
2016,Manitoba,20 to 24 years,Femmes,16.0
2017,Manitoba,20 to 24 years,Femmes,17.0
2018,Manitoba,20 to 24 years,Femmes,16.0
2019,Manitoba,20 to 24 years,Femmes,14.0
2020,Manitoba,20 to 24 years,Femmes,15.0
2016,Manitoba,25 to 29 years,Both sexes,17.0
2017,Manitoba,25 to 29 years,Both sexes,15.0
2018,Manitoba,25 to 29 years,Both sexes,17.0
2019,Manitoba,25 to 29 years,Both sexes,16.0
2020,Manitoba,25 to 29 years,Both sexes,17.0
2016,Manitoba,25 to 29 years,Hommes,16.0
2017,Manitoba,25 to 29 years,Hommes,12.0
2018,Manitoba,25 to 29 years,Hommes,16.0
2019,Manitoba,25 to 29 years,Hommes,14.0
2020,Manitoba,25 to 29 years,Hommes,14.0
2016,Manitoba,25 to 29 years,Femmes,18.0
2017,Manitoba,25 to 29 years,Femmes,19.0
2018,Manitoba,25 to 29 years,Femmes,19.0
2019,Manitoba,25 to 29 years,Femmes,18.0
2020,Manitoba,25 to 29 years,Femmes,20.0
2016,Saskatchewan,Total 15 to 29 years,Both sexes,13.0
2017,Saskatchewan,Total 15 to 29 years,Both sexes,13.0
2018,Saskatchewan,Total 15 to 29 years,Both sexes,13.0
2019,Saskatchewan,Total 15 to 29 years,Both sexes,11.0
2020,Saskatchewan,Total 15 to 29 years,Both sexes,14.0
2016,Saskatchewan,Total 15 to 29 years,Hommes,12.0
2017,Saskatchewan,Total 15 to 29 years,Hommes,13.0
2018,Saskatchewan,Total 15 to 29 years,Hommes,13.0
2019,Saskatchewan,Total 15 to 29 years,Hommes,10.0
2020,Saskatchewan,Total 15 to 29 years,Hommes,14.0
2016,Saskatchewan,Total 15 to 29 years,Femmes,14.0
2017,Saskatchewan,Total 15 to 29 years,Femmes,14.0
2018,Saskatchewan,Total 15 to 29 years,Femmes,13.0
2019,Saskatchewan,Total 15 to 29 years,Femmes,13.0
2020,Saskatchewan,Total 15 to 29 years,Femmes,15.0
2016,Saskatchewan,15 to 19 years,Both sexes,8.0
2017,Saskatchewan,15 to 19 years,Both sexes,8.0
2018,Saskatchewan,15 to 19 years,Both sexes,8.0
2019,Saskatchewan,15 to 19 years,Both sexes,6.0
2020,Saskatchewan,15 to 19 years,Both sexes,12.0
2016,Saskatchewan,15 to 19 years,Hommes,9.0
2017,Saskatchewan,15 to 19 years,Hommes,9.0
2018,Saskatchewan,15 to 19 years,Hommes,8.0
2019,Saskatchewan,15 to 19 years,Hommes,6.0
2020,Saskatchewan,15 to 19 years,Hommes,14.0
2016,Saskatchewan,15 to 19 years,Femmes,8.0
2017,Saskatchewan,15 to 19 years,Femmes,6.0
2018,Saskatchewan,15 to 19 years,Femmes,8.0
2019,Saskatchewan,15 to 19 years,Femmes,6.0
2020,Saskatchewan,15 to 19 years,Femmes,11.0
2016,Saskatchewan,15 to 24 years,Both sexes,12.0
2017,Saskatchewan,15 to 24 years,Both sexes,12.0
2018,Saskatchewan,15 to 24 years,Both sexes,11.0
2019,Saskatchewan,15 to 24 years,Both sexes,9.0
2020,Saskatchewan,15 to 24 years,Both sexes,14.0
2016,Saskatchewan,15 to 24 years,Hommes,12.0
2017,Saskatchewan,15 to 24 years,Hommes,12.0
2018,Saskatchewan,15 to 24 years,Hommes,12.0
2019,Saskatchewan,15 to 24 years,Hommes,9.0
2020,Saskatchewan,15 to 24 years,Hommes,13.0
2016,Saskatchewan,15 to 24 years,Femmes,11.0
2017,Saskatchewan,15 to 24 years,Femmes,11.0
2018,Saskatchewan,15 to 24 years,Femmes,10.0
2019,Saskatchewan,15 to 24 years,Femmes,10.0
2020,Saskatchewan,15 to 24 years,Femmes,14.0
2016,Saskatchewan,18 to 24 years,Both sexes,15.0
2017,Saskatchewan,18 to 24 years,Both sexes,15.0
2018,Saskatchewan,18 to 24 years,Both sexes,14.0
2019,Saskatchewan,18 to 24 years,Both sexes,12.0
2020,Saskatchewan,18 to 24 years,Both sexes,16.0
2016,Saskatchewan,18 to 24 years,Hommes,16.0
2017,Saskatchewan,18 to 24 years,Hommes,16.0
2018,Saskatchewan,18 to 24 years,Hommes,16.0
2019,Saskatchewan,18 to 24 years,Hommes,12.0
2020,Saskatchewan,18 to 24 years,Hommes,15.0
2016,Saskatchewan,18 to 24 years,Femmes,14.0
2017,Saskatchewan,18 to 24 years,Femmes,14.0
2018,Saskatchewan,18 to 24 years,Femmes,12.0
2019,Saskatchewan,18 to 24 years,Femmes,12.0
2020,Saskatchewan,18 to 24 years,Femmes,17.0
2016,Saskatchewan,20 to 24 years,Both sexes,15.0
2017,Saskatchewan,20 to 24 years,Both sexes,15.0
2018,Saskatchewan,20 to 24 years,Both sexes,14.0
2019,Saskatchewan,20 to 24 years,Both sexes,12.0
2020,Saskatchewan,20 to 24 years,Both sexes,15.0
2016,Saskatchewan,20 to 24 years,Hommes,16.0
2017,Saskatchewan,20 to 24 years,Hommes,15.0
2018,Saskatchewan,20 to 24 years,Hommes,16.0
2019,Saskatchewan,20 to 24 years,Hommes,12.0
2020,Saskatchewan,20 to 24 years,Hommes,13.0
2016,Saskatchewan,20 to 24 years,Femmes,14.0
2017,Saskatchewan,20 to 24 years,Femmes,15.0
2018,Saskatchewan,20 to 24 years,Femmes,12.0
2019,Saskatchewan,20 to 24 years,Femmes,13.0
2020,Saskatchewan,20 to 24 years,Femmes,17.0
2016,Saskatchewan,25 to 29 years,Both sexes,15.0
2017,Saskatchewan,25 to 29 years,Both sexes,17.0
2018,Saskatchewan,25 to 29 years,Both sexes,17.0
2019,Saskatchewan,25 to 29 years,Both sexes,15.0
2020,Saskatchewan,25 to 29 years,Both sexes,16.0
2016,Saskatchewan,25 to 29 years,Hommes,12.0
2017,Saskatchewan,25 to 29 years,Hommes,14.0
2018,Saskatchewan,25 to 29 years,Hommes,15.0
2019,Saskatchewan,25 to 29 years,Hommes,12.0
2020,Saskatchewan,25 to 29 years,Hommes,14.0
2016,Saskatchewan,25 to 29 years,Femmes,19.0
2017,Saskatchewan,25 to 29 years,Femmes,20.0
2018,Saskatchewan,25 to 29 years,Femmes,20.0
2019,Saskatchewan,25 to 29 years,Femmes,18.0
2020,Saskatchewan,25 to 29 years,Femmes,17.0
2016,Alberta,Total 15 to 29 years,Both sexes,14.0
2017,Alberta,Total 15 to 29 years,Both sexes,13.0
2018,Alberta,Total 15 to 29 years,Both sexes,13.0
2019,Alberta,Total 15 to 29 years,Both sexes,12.0
2020,Alberta,Total 15 to 29 years,Both sexes,15.0
2016,Alberta,Total 15 to 29 years,Hommes,13.0
2017,Alberta,Total 15 to 29 years,Hommes,13.0
2018,Alberta,Total 15 to 29 years,Hommes,12.0
2019,Alberta,Total 15 to 29 years,Hommes,12.0
2020,Alberta,Total 15 to 29 years,Hommes,15.0
2016,Alberta,Total 15 to 29 years,Femmes,15.0
2017,Alberta,Total 15 to 29 years,Femmes,13.0
2018,Alberta,Total 15 to 29 years,Femmes,15.0
2019,Alberta,Total 15 to 29 years,Femmes,12.0
2020,Alberta,Total 15 to 29 years,Femmes,15.0
2016,Alberta,15 to 19 years,Both sexes,6.0
2017,Alberta,15 to 19 years,Both sexes,6.0
2018,Alberta,15 to 19 years,Both sexes,7.0
2019,Alberta,15 to 19 years,Both sexes,8.0
2020,Alberta,15 to 19 years,Both sexes,8.0
2016,Alberta,15 to 19 years,Hommes,7.0
2017,Alberta,15 to 19 years,Hommes,7.0
2018,Alberta,15 to 19 years,Hommes,8.0
2019,Alberta,15 to 19 years,Hommes,9.0
2020,Alberta,15 to 19 years,Hommes,10.0
2016,Alberta,15 to 19 years,Femmes,5.0
2017,Alberta,15 to 19 years,Femmes,5.0
2018,Alberta,15 to 19 years,Femmes,6.0
2019,Alberta,15 to 19 years,Femmes,6.0
2020,Alberta,15 to 19 years,Femmes,6.0
2016,Alberta,15 to 24 years,Both sexes,11.0
2017,Alberta,15 to 24 years,Both sexes,11.0
2018,Alberta,15 to 24 years,Both sexes,11.0
2019,Alberta,15 to 24 years,Both sexes,10.0
2020,Alberta,15 to 24 years,Both sexes,12.0
2016,Alberta,15 to 24 years,Hommes,12.0
2017,Alberta,15 to 24 years,Hommes,11.0
2018,Alberta,15 to 24 years,Hommes,11.0
2019,Alberta,15 to 24 years,Hommes,11.0
2020,Alberta,15 to 24 years,Hommes,13.0
2016,Alberta,15 to 24 years,Femmes,10.0
2017,Alberta,15 to 24 years,Femmes,10.0
2018,Alberta,15 to 24 years,Femmes,11.0
2019,Alberta,15 to 24 years,Femmes,8.0
2020,Alberta,15 to 24 years,Femmes,11.0
2016,Alberta,18 to 24 years,Both sexes,14.0
2017,Alberta,18 to 24 years,Both sexes,13.0
2018,Alberta,18 to 24 years,Both sexes,14.0
2019,Alberta,18 to 24 years,Both sexes,12.0
2020,Alberta,18 to 24 years,Both sexes,15.0
2016,Alberta,18 to 24 years,Hommes,15.0
2017,Alberta,18 to 24 years,Hommes,14.0
2018,Alberta,18 to 24 years,Hommes,14.0
2019,Alberta,18 to 24 years,Hommes,14.0
2020,Alberta,18 to 24 years,Hommes,16.0
2016,Alberta,18 to 24 years,Femmes,13.0
2017,Alberta,18 to 24 years,Femmes,13.0
2018,Alberta,18 to 24 years,Femmes,14.0
2019,Alberta,18 to 24 years,Femmes,11.0
2020,Alberta,18 to 24 years,Femmes,14.0
2016,Alberta,20 to 24 years,Both sexes,15.0
2017,Alberta,20 to 24 years,Both sexes,15.0
2018,Alberta,20 to 24 years,Both sexes,15.0
2019,Alberta,20 to 24 years,Both sexes,12.0
2020,Alberta,20 to 24 years,Both sexes,16.0
2016,Alberta,20 to 24 years,Hommes,16.0
2017,Alberta,20 to 24 years,Hommes,15.0
2018,Alberta,20 to 24 years,Hommes,14.0
2019,Alberta,20 to 24 years,Hommes,14.0
2020,Alberta,20 to 24 years,Hommes,16.0
2016,Alberta,20 to 24 years,Femmes,14.0
2017,Alberta,20 to 24 years,Femmes,14.0
2018,Alberta,20 to 24 years,Femmes,16.0
2019,Alberta,20 to 24 years,Femmes,10.0
2020,Alberta,20 to 24 years,Femmes,15.0
2016,Alberta,25 to 29 years,Both sexes,18.0
2017,Alberta,25 to 29 years,Both sexes,17.0
2018,Alberta,25 to 29 years,Both sexes,17.0
2019,Alberta,25 to 29 years,Both sexes,16.0
2020,Alberta,25 to 29 years,Both sexes,21.0
2016,Alberta,25 to 29 years,Hommes,15.0
2017,Alberta,25 to 29 years,Hommes,16.0
2018,Alberta,25 to 29 years,Hommes,14.0
2019,Alberta,25 to 29 years,Hommes,13.0
2020,Alberta,25 to 29 years,Hommes,19.0
2016,Alberta,25 to 29 years,Femmes,22.0
2017,Alberta,25 to 29 years,Femmes,19.0
2018,Alberta,25 to 29 years,Femmes,20.0
2019,Alberta,25 to 29 years,Femmes,18.0
2020,Alberta,25 to 29 years,Femmes,23.0
2016,British Columbia,Total 15 to 29 years,Both sexes,12.0
2017,British Columbia,Total 15 to 29 years,Both sexes,11.0
2018,British Columbia,Total 15 to 29 years,Both sexes,11.0
2019,British Columbia,Total 15 to 29 years,Both sexes,10.0
2020,British Columbia,Total 15 to 29 years,Both sexes,14.0
2016,British Columbia,Total 15 to 29 years,Hommes,12.0
2017,British Columbia,Total 15 to 29 years,Hommes,11.0
2018,British Columbia,Total 15 to 29 years,Hommes,12.0
2019,British Columbia,Total 15 to 29 years,Hommes,11.0
2020,British Columbia,Total 15 to 29 years,Hommes,14.0
2016,British Columbia,Total 15 to 29 years,Femmes,12.0
2017,British Columbia,Total 15 to 29 years,Femmes,11.0
2018,British Columbia,Total 15 to 29 years,Femmes,10.0
2019,British Columbia,Total 15 to 29 years,Femmes,10.0
2020,British Columbia,Total 15 to 29 years,Femmes,13.0
2016,British Columbia,15 to 19 years,Both sexes,7.0
2017,British Columbia,15 to 19 years,Both sexes,6.0
2018,British Columbia,15 to 19 years,Both sexes,6.0
2019,British Columbia,15 to 19 years,Both sexes,5.0
2020,British Columbia,15 to 19 years,Both sexes,11.0
2016,British Columbia,15 to 19 years,Hommes,8.0
2017,British Columbia,15 to 19 years,Hommes,8.0
2018,British Columbia,15 to 19 years,Hommes,7.0
2019,British Columbia,15 to 19 years,Hommes,6.0
2020,British Columbia,15 to 19 years,Hommes,11.0
2016,British Columbia,15 to 19 years,Femmes,6.0
2017,British Columbia,15 to 19 years,Femmes,4.0
2018,British Columbia,15 to 19 years,Femmes,6.0
2019,British Columbia,15 to 19 years,Femmes,5.0
2020,British Columbia,15 to 19 years,Femmes,10.0
2016,British Columbia,15 to 24 years,Both sexes,10.0
2017,British Columbia,15 to 24 years,Both sexes,9.0
2018,British Columbia,15 to 24 years,Both sexes,9.0
2019,British Columbia,15 to 24 years,Both sexes,9.0
2020,British Columbia,15 to 24 years,Both sexes,12.0
2016,British Columbia,15 to 24 years,Hommes,11.0
2017,British Columbia,15 to 24 years,Hommes,11.0
2018,British Columbia,15 to 24 years,Hommes,10.0
2019,British Columbia,15 to 24 years,Hommes,10.0
2020,British Columbia,15 to 24 years,Hommes,14.0
2016,British Columbia,15 to 24 years,Femmes,9.0
2017,British Columbia,15 to 24 years,Femmes,7.0
2018,British Columbia,15 to 24 years,Femmes,8.0
2019,British Columbia,15 to 24 years,Femmes,7.0
2020,British Columbia,15 to 24 years,Femmes,11.0
2016,British Columbia,18 to 24 years,Both sexes,12.0
2017,British Columbia,18 to 24 years,Both sexes,11.0
2018,British Columbia,18 to 24 years,Both sexes,11.0
2019,British Columbia,18 to 24 years,Both sexes,11.0
2020,British Columbia,18 to 24 years,Both sexes,14.0
2016,British Columbia,18 to 24 years,Hommes,13.0
2017,British Columbia,18 to 24 years,Hommes,13.0
2018,British Columbia,18 to 24 years,Hommes,13.0
2019,British Columbia,18 to 24 years,Hommes,13.0
2020,British Columbia,18 to 24 years,Hommes,15.0
2016,British Columbia,18 to 24 years,Femmes,11.0
2017,British Columbia,18 to 24 years,Femmes,8.0
2018,British Columbia,18 to 24 years,Femmes,10.0
2019,British Columbia,18 to 24 years,Femmes,9.0
2020,British Columbia,18 to 24 years,Femmes,13.0
2016,British Columbia,20 to 24 years,Both sexes,12.0
2017,British Columbia,20 to 24 years,Both sexes,12.0
2018,British Columbia,20 to 24 years,Both sexes,12.0
2019,British Columbia,20 to 24 years,Both sexes,11.0
2020,British Columbia,20 to 24 years,Both sexes,14.0
2016,British Columbia,20 to 24 years,Hommes,13.0
2017,British Columbia,20 to 24 years,Hommes,13.0
2018,British Columbia,20 to 24 years,Hommes,13.0
2019,British Columbia,20 to 24 years,Hommes,13.0
2020,British Columbia,20 to 24 years,Hommes,15.0
2016,British Columbia,20 to 24 years,Femmes,11.0
2017,British Columbia,20 to 24 years,Femmes,10.0
2018,British Columbia,20 to 24 years,Femmes,10.0
2019,British Columbia,20 to 24 years,Femmes,9.0
2020,British Columbia,20 to 24 years,Femmes,12.0
2016,British Columbia,25 to 29 years,Both sexes,17.0
2017,British Columbia,25 to 29 years,Both sexes,15.0
2018,British Columbia,25 to 29 years,Both sexes,14.0
2019,British Columbia,25 to 29 years,Both sexes,14.0
2020,British Columbia,25 to 29 years,Both sexes,16.0
2016,British Columbia,25 to 29 years,Hommes,15.0
2017,British Columbia,25 to 29 years,Hommes,12.0
2018,British Columbia,25 to 29 years,Hommes,14.0
2019,British Columbia,25 to 29 years,Hommes,12.0
2020,British Columbia,25 to 29 years,Hommes,16.0
2016,British Columbia,25 to 29 years,Femmes,19.0
2017,British Columbia,25 to 29 years,Femmes,18.0
2018,British Columbia,25 to 29 years,Femmes,15.0
2019,British Columbia,25 to 29 years,Femmes,15.0
2020,British Columbia,25 to 29 years,Femmes,17.0
2016,Yukon,Total 15 to 29 years,Both sexes,15.0
2017,Yukon,Total 15 to 29 years,Both sexes,15.0
2018,Yukon,Total 15 to 29 years,Both sexes,13.0
2019,Yukon,Total 15 to 29 years,Both sexes,9.0
2020,Yukon,Total 15 to 29 years,Both sexes,16.0
2016,Yukon,Total 15 to 29 years,Hommes,16.0
2017,Yukon,Total 15 to 29 years,Hommes,10.0
2018,Yukon,Total 15 to 29 years,Hommes,10.0
2019,Yukon,Total 15 to 29 years,Hommes,
2020,Yukon,Total 15 to 29 years,Hommes,16.0
2016,Yukon,Total 15 to 29 years,Femmes,13.0
2017,Yukon,Total 15 to 29 years,Femmes,21.0
2018,Yukon,Total 15 to 29 years,Femmes,18.0
2019,Yukon,Total 15 to 29 years,Femmes,12.0
2020,Yukon,Total 15 to 29 years,Femmes,15.0
2016,Yukon,15 to 19 years,Both sexes,
2017,Yukon,15 to 19 years,Both sexes,
2018,Yukon,15 to 19 years,Both sexes,
2019,Yukon,15 to 19 years,Both sexes,
2020,Yukon,15 to 19 years,Both sexes,14.0
2016,Yukon,15 to 19 years,Hommes,
