Year,Geography,Age group,Sexe,Value
2016,Newfoundland and Labrador,15 to 24 years,Femmes,11.0
2017,Newfoundland and Labrador,15 to 24 years,Femmes,13.0
2018,Newfoundland and Labrador,15 to 24 years,Femmes,7.0
2019,Newfoundland and Labrador,15 to 24 years,Femmes,10.0
2020,Newfoundland and Labrador,15 to 24 years,Femmes,13.0
2016,Newfoundland and Labrador,18 to 24 years,Both sexes,21.0
2017,Newfoundland and Labrador,18 to 24 years,Both sexes,22.0
2018,Newfoundland and Labrador,18 to 24 years,Both sexes,15.0
2019,Newfoundland and Labrador,18 to 24 years,Both sexes,18.0
2020,Newfoundland and Labrador,18 to 24 years,Both sexes,20.0
2016,Newfoundland and Labrador,18 to 24 years,Hommes,27.0
2017,Newfoundland and Labrador,18 to 24 years,Hommes,27.0
2018,Newfoundland and Labrador,18 to 24 years,Hommes,20.0
2019,Newfoundland and Labrador,18 to 24 years,Hommes,22.0
2020,Newfoundland and Labrador,18 to 24 years,Hommes,24.0
2016,Newfoundland and Labrador,18 to 24 years,Femmes,14.0
2017,Newfoundland and Labrador,18 to 24 years,Femmes,17.0
2018,Newfoundland and Labrador,18 to 24 years,Femmes,10.0
2019,Newfoundland and Labrador,18 to 24 years,Femmes,14.0
2020,Newfoundland and Labrador,18 to 24 years,Femmes,16.0
2016,Newfoundland and Labrador,20 to 24 years,Both sexes,25.0
2017,Newfoundland and Labrador,20 to 24 years,Both sexes,25.0
2018,Newfoundland and Labrador,20 to 24 years,Both sexes,18.0
2019,Newfoundland and Labrador,20 to 24 years,Both sexes,19.0
2020,Newfoundland and Labrador,20 to 24 years,Both sexes,22.0
2016,Newfoundland and Labrador,20 to 24 years,Hommes,31.0
2017,Newfoundland and Labrador,20 to 24 years,Hommes,31.0
2018,Newfoundland and Labrador,20 to 24 years,Hommes,23.0
2019,Newfoundland and Labrador,20 to 24 years,Hommes,21.0
2020,Newfoundland and Labrador,20 to 24 years,Hommes,25.0
2016,Newfoundland and Labrador,20 to 24 years,Femmes,17.0
2017,Newfoundland and Labrador,20 to 24 years,Femmes,19.0
2018,Newfoundland and Labrador,20 to 24 years,Femmes,12.0
2019,Newfoundland and Labrador,20 to 24 years,Femmes,16.0
2020,Newfoundland and Labrador,20 to 24 years,Femmes,17.0
2016,Newfoundland and Labrador,25 to 29 years,Both sexes,24.0
2017,Newfoundland and Labrador,25 to 29 years,Both sexes,30.0
2018,Newfoundland and Labrador,25 to 29 years,Both sexes,26.0
2019,Newfoundland and Labrador,25 to 29 years,Both sexes,25.0
